TYPE_NAME=Addr_Region;KEYS=Name
Name;Code;From_Index;To_Index;Subordination;Title;Region_Type;UID
"пъгюмяйюъ накюярэ";"390099";390000;;"name=""пняяхъ""";"пъгюмяйюъ накюярэ, пняяхъ";2;"38"
"рюланбяйюъ накюярэ";"392999";392000;;"name=""пняяхъ""";"рюланбяйюъ накюярэ, пняяхъ";2;"39"
"бнпнмефяйюъ накюярэ";"394700";394000;;"name=""пняяхъ""";"бнпнмефяйюъ накюярэ, пняяхъ";2;"40"
"кхоежйюъ накюярэ";"398999";398000;;"name=""пняяхъ""";"кхоежйюъ накюярэ, пняяхъ";2;"41"
"бнкцнцпюдяйюъ накюярэ";"400700";400000;;"name=""пняяхъ""";"бнкцнцпюдяйюъ накюярэ, пняяхъ";2;"42"
"яюпюрнбяйюъ накюярэ";"410999";410000;;"name=""пняяхъ""";"яюпюрнбяйюъ накюярэ, пняяхъ";2;"43"
"юярпюуюмяйюъ накюярэ";"414999";414000;;"name=""пняяхъ""";"юярпюуюмяйюъ накюярэ, пняяхъ";2;"44"
"рюрюпярюм пеяосакхйю";"420199";420000;;"name=""пняяхъ""";"рюрюпярюм пеяосакхйю, пняяхъ";2;"45"
"люпхи щк пеяосакхйю";"424999";424000;;"name=""пняяхъ""";"люпхи щк пеяосакхйю, пняяхъ";2;"46"
"сдлспряйюъ пеяосакхйю";"426999";426000;;"name=""пняяхъ""";"сдлспряйюъ пеяосакхйю, пняяхъ";2;"47"
"всбюьяйюъ пеяосакхйю";"428999";428000;;"name=""пняяхъ""";"всбюьяйюъ пеяосакхйю, пняяхъ";2;"48"
"лнпднбхъ пеяосакхйю";"430700";430000;;"name=""пняяхъ""";"лнпднбхъ пеяосакхйю, пняяхъ";2;"49"
"скэъмнбяйюъ накюярэ";"432099";432000;;"name=""пняяхъ""";"скэъмнбяйюъ накюярэ, пняяхъ";2;"50"
"оемгемяйюъ накюярэ";"440999";440000;;"name=""пняяхъ""";"оемгемяйюъ накюярэ, пняяхъ";2;"51"
"яюлюпяйюъ накюярэ";"443700";443000;;"name=""пняяхъ""";"яюлюпяйюъ накюярэ, пняяхъ";2;"52"
"аюьйнпрнярюм пеяосакхйю";"450999";450000;;"name=""пняяхъ""";"аюьйнпрнярюм пеяосакхйю, пняяхъ";2;"53"
"векъахмяйюъ накюярэ";"454999";454000;;"name=""пняяхъ""";"векъахмяйюъ накюярэ, пняяхъ";2;"54"
"нпемаспцяйюъ накюярэ";"460999";460000;;"name=""пняяхъ""";"нпемаспцяйюъ накюярэ, пняяхъ";2;"55"
"йюгюуярюм";"468700";468320;;"name=""пняяхъ""";"йюгюуярюм, пняяхъ";2;"56"
"цеплюмхъ";;500100;;"name=""пняяхъ""";"цеплюмхъ, пняяхъ";2;"57"
"чфмюъ няерхъ пеяосакхйю";"362000";500200;;"name=""пняяхъ""";"чфмюъ няерхъ пеяосакхйю, пняяхъ";2;"58"
"бкюдхлхпяйюъ накюярэ";"600999";600000;;"name=""пняяхъ""";"бкюдхлхпяйюъ накюярэ, пняяхъ";2;"59"
"мхфецнпндяйюъ накюярэ";"603199";603000;;"name=""пняяхъ""";"мхфецнпндяйюъ накюярэ, пняяхъ";2;"60"
"йхпнбяйюъ накюярэ";"610999";610000;;"name=""пняяхъ""";"йхпнбяйюъ накюярэ, пняяхъ";2;"61"
"оепляйхи йпюи";"614999";614000;;"name=""пняяхъ""";"оепляйхи йпюи, пняяхъ";2;"62"
"ябепдкнбяйюъ накюярэ";"620999";620000;;"name=""пняяхъ""";"ябепдкнбяйюъ накюярэ, пняяхъ";2;"63"
"рчлемяйюъ накюярэ";"625500";625000;;"name=""пняяхъ""";"рчлемяйюъ накюярэ, пняяхъ";2;"64"
"мнбняхахпяйюъ накюярэ";"630700";630000;;"name=""пняяхъ""";"мнбняхахпяйюъ накюярэ, пняяхъ";2;"65"
"рнляйюъ накюярэ";"634700";634000;;"name=""пняяхъ""";"рнляйюъ накюярэ, пняяхъ";2;"66"
"йспцюмяйюъ накюярэ";"640700";640000;;"name=""пняяхъ""";"йспцюмяйюъ накюярэ, пняяхъ";2;"67"
"нляйюъ накюярэ";"644700";644000;;"name=""пняяхъ""";"нляйюъ накюярэ, пняяхъ";2;"68"
"йпюямнъпяйхи йпюи";"663300";647000;;"name=""пняяхъ""";"йпюямнъпяйхи йпюи, пняяхъ";2;"69"
"юкрюи пеяосакхйю";"649119";649000;;"name=""пняяхъ""";"юкрюи пеяосакхйю, пняяхъ";2;"70"
"йелепнбяйюъ накюярэ";"650999";650000;;"name=""пняяхъ""";"йелепнбяйюъ накюярэ, пняяхъ";2;"71"
"уюйюяхъ пеяосакхйю";"655400";655000;;"name=""пняяхъ""";"уюйюяхъ пеяосакхйю, пняяхъ";2;"72"
"юкрюияйхи йпюи";"656999";656000;;"name=""пняяхъ""";"юкрюияйхи йпюи, пняяхъ";2;"73"
"хпйсряйюъ накюярэ";"664700";664000;;"name=""пняяхъ""";"хпйсряйюъ накюярэ, пняяхъ";2;"74"
"ршбю пеяосакхйю";"667999";667000;;"name=""пняяхъ""";"ршбю пеяосакхйю, пняяхъ";2;"75"
"аспърхъ пеяосакхйю";"670999";670000;;"name=""пняяхъ""";"аспърхъ пеяосакхйю, пняяхъ";2;"76"
"гюаюийюкэяйхи йпюи";"672999";672000;;"name=""пняяхъ""";"гюаюийюкэяйхи йпюи, пняяхъ";2;"77"
"юлспяйюъ накюярэ";"675700";675000;;"name=""пняяхъ""";"юлспяйюъ накюярэ, пняяхъ";2;"78"
"яюую (ъйсрхъ) пеяосакхйю";"677999";677000;;"name=""пняяхъ""";"яюую (ъйсрхъ) пеяосакхйю, пняяхъ";2;"79"
"уюаюпнбяйхи йпюи";"680999";680000;;"name=""пняяхъ""";"уюаюпнбяйхи йпюи, пняяхъ";2;"80"
"йюлвюряйхи йпюи";"683700";683000;;"name=""пняяхъ""";"йюлвюряйхи йпюи, пняяхъ";2;"81"
"люцюдюмяйюъ накюярэ";"685700";685000;;"name=""пняяхъ""";"люцюдюмяйюъ накюярэ, пняяхъ";2;"82"
"опхлнпяйхи йпюи";"690700";690000;;"name=""пняяхъ""";"опхлнпяйхи йпюи, пняяхъ";2;"83"
"яюуюкхмяйюъ накюярэ";"693700";693000;;"name=""пняяхъ""";"яюуюкхмяйюъ накюярэ, пняяхъ";2;"84"
